Document,Pan_2023,Zhang_Jun-2024,Jiang_2024,Wan_Jun2024,Hóu_2025,Li_Jul-2025,Keber_2024,Khan_2025,Colelough_2025,Petruzzellis_2025,Simon Alford_2021,Hitzler_2022,ZHANG_2024,He_2025,Wang_2022,Wan_May2024,Wan_Sep2024,Wan_Mar2025,Wan_2025,Riegel_2022,Feldstein_2024,Garzes_2020,Liu_2025,Banayeeanzade_2025,Ibrahim_2024,Oltramari_2023,Bai_2025,Raedt_2020,Archarga_2023,Aspis_2022,Chen_2025,Delvecchio_2024,Sharifi_2025,Tsamaura_2020,Yang_2025,Wang_2024,Gibaut_2023,Edwards_2024,Karpas_2022,Liu_2024,Mamuni_2025,Peng_2021,Shivadekar_2025,Spivak_2024,Gonzales_2025,Huang_2025,Hamilton_2022,Gaur_2022,Romero_2023,Thomas_2022,Shin_2024,Wang_2025,Pawar_2024,Castillo-Lopez_2025,Qian_2024,Wang_Mar-2024,Kim_2024,Li_2025,Chow_2023,Ahmed_2024,Kanani_2025,Ahmad_2025
use Knowledge Graph,,x,,x,x,x,x,,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,,x,,,,,,x,,,x,x,,x,x,,,x,x,,x,,,,,,,,x,,,,
use Search/Exploration methods,x,x,,x,x,x,,,,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,,x,x,x,,,x,x,x,x,x,x,,,,,,,,x,,,,x,,,,,
Symbolic Formulation,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,,x,,x,x,,,,,,,,,,,,
"external deterministic 
Solver",x,,,x,x,x,,,,,,,x,,x,x,x,x,x,x,x,x,x,,,x,,x,x,x,x,x,,,,,,,x,,x,,x,x,,,,,,,,,,,,,,,,,,
In Context Learning,x,,x,,x,,,x,,,x,,,x,,,,,,,,,,,,,x,,,,,,,,,x,,,x,,x,x,,x,x,,x,,,,x,x,x,x,x,x,x,x,x,x,x,x
Self-Refinement,x,x,x,x,x,x,,,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,,x,,x,x,,x,,x,,,,,x,x,x,x,x,,,,,,,,x,,x,,,,,,x,
Rule-base interpreter,x,,,x,x,x,x,,,x,x,,x,x,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,x,x,,,,,,,,,,,,,
LLM-base interpreter,x,,,,x,x,,x,,,,,x,x,,,,,,,,,,,,,,,x,,,,,,,,,,x,x,x,,,x,,,,x,x,,,,,,,,,,,,,
LLM problem solving,x,x,x,x,x,x,,x,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLM probl representation,x,x,x,,x,x,,x,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,x,x,x,,,x,x,,,,,,,,,,,,,,,,,
Behavior Learning,,x,,x,,,,,,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,x,x,x,,,x,x,x,,x,x,,x,x,,,,,,,,,,,,,,,,,x,
"symbolic agent that 
Search the rules",,x,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Process Knowledge,,,,,x,,,,,x,,,,x,,,,,,,,x,x,,,x,,,x,,x,,,,,,,,,,x,,,x,x,x,x,x,,x,,,x,x,x,,x,x,,x,x,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memory & Meta-Cog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memory: Parametric (Stored in Weights),,,,,x,x,x,x,,,,,x,X,x,x,x,x,x,x,x,x,x,x,,,x,,,x,,,,,x,x,x,,,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,,x,,,x
Memory: Non-Parametric (External/RAG/DB),,,,,,x,x,x,,,,,x,X,x,x,x,x,x,x,x,x,,x,x,x,x,,,,,,,,x,x,,,x,x,x,x,x,x,x,,,x,,,,,,,,,,,,,,
Meta-Cognition / Self-Monitoring (Monitor/Evaluate/Adjust),x,x,,x,,x,,,x,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,x,x,x,x,,x,,x,x,,x,x,x,x,x,,,x,x,,,x,x,x,x,,x,x,,,x,
Active Forgetting,,,,,,,,,x,,x,,x,X,,,,,,x,,,,,,,,,,,,,,,,x,,,,,x,x,,,,,,,,,,,,,,,,,,,,
Omnidirectional/Bidirectional Inference,x,,,x,,,,,,,x,,,,,x,x,x,,x,x,x,x,,x,,,,x,,x,,,x,,,x,,,,x,,,,,x,x,,,,,,x,,,,,,,x,,
Bounded Rationality,,x,,,,,,,,,,,,,,,,,,x,,,x,x,x,x,,x,,,x,,x,,,x,,x,,,x,,x,x,,,,,x,,x,x,x,x,x,,x,x,x,x,x,
Trace-based Grounding,,x,,,x,,,,,,x,,,,,,,,,,x,x,x,,,x,,x,x,x,x,x,x,x,,,x,,,,x,,,,x,,,,,,,,x,,x,,,,,x,,
Theory of Mind Reasoning,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,x,x,,x,,,,x,x,x,,,,x,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
external tools,x,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
programming code,x,,x,x,,,,,,,x,,x,x,x,x,x,x,x,x,x,x,x,,,x,x,,x,,x,x,x,,x,,x,x,,,x,,,x,x,,,,,,,,,,x,,,,,,,
symbolic resoners,x,,x,x,x,x,x,,x,,x,x,x,x,x,x,x,x,x,,x,x,x,,,x,,,x,x,x,x,x,x,x,,x,x,x,x,x,,x,x,x,,,,,,,,,,x,,,,,,,
multimodal agents,,,x,,,,x,x,,,x,,x,x,x,,x,,,,,,x,,,,x,,x,,x,x,x,,,,x,x,x,,x,,x,x,,,,,,x,,,x,,x,,,x,,,x,
multi-agent systems,,x,x,x,x,,,x,x,,,,x,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,x,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
axioms of rationality,,,obtain from,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Grounding,,,x,,x,,,,,,,,,,x,,,,,x,,x,x,x,x,x,,x,x,x,x,x,x,,x,,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,,x
Logical Consistency,x,,x,x,x,x,x,,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,,x,x,x,x,x,x,x,x,x,,,,,x,,,,,,,,x,,x,,
Invariance from Irrelevant Context,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,x,,,,,,,,,,x,
Orderability of Preference,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
Explicit Intermediate Representation (Transparency),x,x,,x,x,x,,,,x,x,,x,x,x,x,x,x,x,,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,,x,x,x,,x,x,x,x,x,x,x,x,x,,,x,x,,x,,x,,x,x,,x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evaluate,,,obtain from,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hallucinations,,,x,x,x,,,,x,x,x,,x,x,,,x,x,,x,,x,x,,,x,,,,,x,x,x,,,x,x,x,x,x,x,x,x,x,x,x,,x,x,,x,x,,,x,x,,x,x,x,,x
modify instruction templates,,,x,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paraphrasing task descriptions,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,
alter the order of examples,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
change prompt language,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,
risk aversion,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lost aversion,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
small probability under uncertainty,,,x,x,,,,,,,,,x,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
